"","obs_error","rate_of_change","replicate","sim_fisher_min","sim_log_fisher_min","regime_shift_time"
"1",0,6e-04,1,582,593,476
"2",0.05,6e-04,2,582,593,476
"3",0.1,6e-04,3,582,590,476
"4",0.15,6e-04,4,583,592,476
"5",0.2,6e-04,5,583,589,476
"6",0.25,6e-04,6,587,589,476
"7",0.3,6e-04,7,583,589,476
"8",0,7e-04,8,514,516,409
"9",0.05,7e-04,9,514,516,409
"10",0.1,7e-04,10,515,516,409
"11",0.15,7e-04,11,514,517,409
"12",0.2,7e-04,12,515,516,409
"13",0.25,7e-04,13,518,518,409
"14",0.3,7e-04,14,516,518,409
"15",0,8e-04,15,472,473,357
"16",0.05,8e-04,16,472,473,357
"17",0.1,8e-04,17,473,474,357
"18",0.15,8e-04,18,473,474,357
"19",0.2,8e-04,19,472,387,357
"20",0.25,8e-04,20,472,474,357
"21",0.3,8e-04,21,473,474,357
"22",0,9e-04,22,423,352,318
"23",0.05,9e-04,23,424,352,318
"24",0.1,9e-04,24,423,352,318
"25",0.15,9e-04,25,419,351,318
"26",0.2,9e-04,26,427,352,318
"27",0.25,9e-04,27,425,349,318
"28",0.3,9e-04,28,429,352,318
"29",0,0.001,29,393,317,285
"30",0.05,0.001,30,342,317,285
"31",0.1,0.001,31,393,317,285
"32",0.15,0.001,32,392,318,285
"33",0.2,0.001,33,387,315,285
"34",0.25,0.001,34,342,313,285
"35",0.3,0.001,35,342,313,285
"36",0,0.0011,36,367,368,260
"37",0.05,0.0011,37,367,368,260
"38",0.1,0.0011,38,367,368,260
"39",0.15,0.0011,39,368,369,260
"40",0.2,0.0011,40,368,368,260
"41",0.25,0.0011,41,371,370,260
"42",0.3,0.0011,42,369,368,260
"43",0,0.0012,43,336,336,239
"44",0.05,0.0012,44,336,336,239
"45",0.1,0.0012,45,336,336,239
"46",0.15,0.0012,46,337,336,239
"47",0.2,0.0012,47,337,337,239
"48",0.25,0.0012,48,336,336,239
"49",0.3,0.0012,49,337,337,239
"50",0,0.0013,50,316,246,220
"51",0.05,0.0013,51,317,246,220
"52",0.1,0.0013,52,271,246,220
"53",0.15,0.0013,53,271,244,220
"54",0.2,0.0013,54,271,246,220
"55",0.25,0.0013,55,316,246,220
"56",0.3,0.0013,56,113,247,220
"57",0,0.0014,57,300,300,204
"58",0.05,0.0014,58,300,300,204
"59",0.1,0.0014,59,300,300,204
"60",0.15,0.0014,60,301,300,204
"61",0.2,0.0014,61,300,300,204
"62",0.25,0.0014,62,302,301,204
"63",0.3,0.0014,63,303,301,204
"64",0,0.0015,64,293,212,190
"65",0.05,0.0015,65,294,212,190
"66",0.1,0.0015,66,294,212,190
"67",0.15,0.0015,67,240,211,190
"68",0.2,0.0015,68,106,211,190
"69",0.25,0.0015,69,236,211,190
"70",0.3,0.0015,70,240,213,190
"71",0,0.0016,71,268,270,180
"72",0.05,0.0016,72,268,270,180
"73",0.1,0.0016,73,268,270,180
"74",0.15,0.0016,74,267,269,180
"75",0.2,0.0016,75,271,271,180
"76",0.25,0.0016,76,268,271,180
"77",0.3,0.0016,77,269,271,180
"78",0,6e-04,78,582,593,476
"79",0.05,6e-04,79,582,594,476
"80",0.1,6e-04,80,583,590,476
"81",0.15,6e-04,81,552,594,476
"82",0.2,6e-04,82,552,599,476
"83",0.25,6e-04,83,584,590,476
"84",0.3,6e-04,84,584,587,476
"85",0,7e-04,85,514,516,409
"86",0.05,7e-04,86,514,516,409
"87",0.1,7e-04,87,514,517,409
"88",0.15,7e-04,88,516,516,409
"89",0.2,7e-04,89,515,520,409
"90",0.25,7e-04,90,515,517,409
"91",0.3,7e-04,91,516,516,409
"92",0,8e-04,92,472,473,357
"93",0.05,8e-04,93,472,474,357
"94",0.1,8e-04,94,473,474,357
"95",0.15,8e-04,95,475,474,357
"96",0.2,8e-04,96,474,473,357
"97",0.25,8e-04,97,473,474,357
"98",0.3,8e-04,98,476,476,357
"99",0,9e-04,99,423,352,318
"100",0.05,9e-04,100,422,352,318
"101",0.1,9e-04,101,425,352,318
"102",0.15,9e-04,102,422,352,318
"103",0.2,9e-04,103,431,350,318
"104",0.25,9e-04,104,422,348,318
"105",0.3,9e-04,105,419,352,318
"106",0,0.001,106,393,317,285
"107",0.05,0.001,107,394,317,285
"108",0.1,0.001,108,391,317,285
"109",0.15,0.001,109,342,316,285
"110",0.2,0.001,110,391,316,285
"111",0.25,0.001,111,385,317,285
"112",0.3,0.001,112,342,318,285
"113",0,0.0011,113,367,368,260
"114",0.05,0.0011,114,367,368,260
"115",0.1,0.0011,115,368,368,260
"116",0.15,0.0011,116,368,368,260
"117",0.2,0.0011,117,367,368,260
"118",0.25,0.0011,118,367,368,260
"119",0.3,0.0011,119,372,370,260
"120",0,0.0012,120,336,336,239
"121",0.05,0.0012,121,336,336,239
"122",0.1,0.0012,122,336,336,239
"123",0.15,0.0012,123,336,336,239
"124",0.2,0.0012,124,336,336,239
"125",0.25,0.0012,125,336,337,239
"126",0.3,0.0012,126,336,336,239
"127",0,0.0013,127,316,246,220
"128",0.05,0.0013,128,316,245,220
"129",0.1,0.0013,129,270,245,220
"130",0.15,0.0013,130,317,244,220
"131",0.2,0.0013,131,317,247,220
"132",0.25,0.0013,132,273,246,220
"133",0.3,0.0013,133,271,245,220
"134",0,0.0014,134,300,300,204
"135",0.05,0.0014,135,300,300,204
"136",0.1,0.0014,136,300,300,204
"137",0.15,0.0014,137,300,300,204
"138",0.2,0.0014,138,300,300,204
"139",0.25,0.0014,139,301,300,204
"140",0.3,0.0014,140,303,303,204
"141",0,0.0015,141,293,212,190
"142",0.05,0.0015,142,293,211,190
"143",0.1,0.0015,143,293,211,190
"144",0.15,0.0015,144,297,211,190
"145",0.2,0.0015,145,292,212,190
"146",0.25,0.0015,146,103,210,190
"147",0.3,0.0015,147,236,209,190
"148",0,0.0016,148,268,270,180
"149",0.05,0.0016,149,268,270,180
"150",0.1,0.0016,150,269,270,180
"151",0.15,0.0016,151,268,269,180
"152",0.2,0.0016,152,268,269,180
"153",0.25,0.0016,153,270,272,180
"154",0.3,0.0016,154,270,271,180
"155",0,6e-04,155,582,593,476
"156",0.05,6e-04,156,552,594,476
"157",0.1,6e-04,157,583,591,476
"158",0.15,6e-04,158,584,591,476
"159",0.2,6e-04,159,582,599,476
"160",0.25,6e-04,160,552,598,476
"161",0.3,6e-04,161,582,590,476
"162",0,7e-04,162,514,516,409
"163",0.05,7e-04,163,514,516,409
"164",0.1,7e-04,164,515,516,409
"165",0.15,7e-04,165,515,517,409
"166",0.2,7e-04,166,599,515,409
"167",0.25,7e-04,167,516,518,409
"168",0.3,7e-04,168,517,518,409
"169",0,8e-04,169,472,473,357
"170",0.05,8e-04,170,472,474,357
"171",0.1,8e-04,171,473,387,357
"172",0.15,8e-04,172,473,475,357
"173",0.2,8e-04,173,472,388,357
"174",0.25,8e-04,174,473,474,357
"175",0.3,8e-04,175,473,474,357
"176",0,9e-04,176,423,352,318
"177",0.05,9e-04,177,425,352,318
"178",0.1,9e-04,178,424,351,318
"179",0.15,9e-04,179,423,351,318
"180",0.2,9e-04,180,422,352,318
"181",0.25,9e-04,181,426,353,318
"182",0.3,9e-04,182,428,351,318
"183",0,0.001,183,393,317,285
"184",0.05,0.001,184,342,317,285
"185",0.1,0.001,185,342,317,285
"186",0.15,0.001,186,342,317,285
"187",0.2,0.001,187,391,316,285
"188",0.25,0.001,188,342,312,285
"189",0.3,0.001,189,394,313,285
"190",0,0.0011,190,367,368,260
"191",0.05,0.0011,191,367,368,260
"192",0.1,0.0011,192,368,368,260
"193",0.15,0.0011,193,369,369,260
"194",0.2,0.0011,194,369,368,260
"195",0.25,0.0011,195,373,369,260
"196",0.3,0.0011,196,310,369,260
"197",0,0.0012,197,336,336,239
"198",0.05,0.0012,198,336,336,239
"199",0.1,0.0012,199,336,336,239
"200",0.15,0.0012,200,336,336,239
"201",0.2,0.0012,201,336,336,239
"202",0.25,0.0012,202,336,336,239
"203",0.3,0.0012,203,337,337,239
"204",0,0.0013,204,316,246,220
"205",0.05,0.0013,205,271,246,220
"206",0.1,0.0013,206,270,246,220
"207",0.15,0.0013,207,271,244,220
"208",0.2,0.0013,208,271,243,220
"209",0.25,0.0013,209,315,246,220
"210",0.3,0.0013,210,270,243,220
"211",0,0.0014,211,300,300,204
"212",0.05,0.0014,212,300,300,204
"213",0.1,0.0014,213,300,300,204
"214",0.15,0.0014,214,300,300,204
"215",0.2,0.0014,215,302,301,204
"216",0.25,0.0014,216,302,302,204
"217",0.3,0.0014,217,301,301,204
"218",0,0.0015,218,293,212,190
"219",0.05,0.0015,219,293,212,190
"220",0.1,0.0015,220,295,212,190
"221",0.15,0.0015,221,106,211,190
"222",0.2,0.0015,222,236,212,190
"223",0.25,0.0015,223,107,213,190
"224",0.3,0.0015,224,101,209,190
"225",0,0.0016,225,268,270,180
"226",0.05,0.0016,226,268,269,180
"227",0.1,0.0016,227,268,270,180
"228",0.15,0.0016,228,269,269,180
"229",0.2,0.0016,229,267,269,180
"230",0.25,0.0016,230,267,269,180
"231",0.3,0.0016,231,268,269,180
"232",0,6e-04,232,582,593,476
"233",0.05,6e-04,233,582,592,476
"234",0.1,6e-04,234,584,589,476
"235",0.15,6e-04,235,582,591,476
"236",0.2,6e-04,236,581,596,476
"237",0.25,6e-04,237,582,591,476
"238",0.3,6e-04,238,583,593,476
"239",0,7e-04,239,514,516,409
"240",0.05,7e-04,240,514,516,409
"241",0.1,7e-04,241,515,516,409
"242",0.15,7e-04,242,514,516,409
"243",0.2,7e-04,243,515,516,409
"244",0.25,7e-04,244,516,516,409
"245",0.3,7e-04,245,517,520,409
"246",0,8e-04,246,472,473,357
"247",0.05,8e-04,247,472,473,357
"248",0.1,8e-04,248,472,473,357
"249",0.15,8e-04,249,474,473,357
"250",0.2,8e-04,250,471,474,357
"251",0.25,8e-04,251,472,474,357
"252",0.3,8e-04,252,474,475,357
"253",0,9e-04,253,423,352,318
"254",0.05,9e-04,254,423,352,318
"255",0.1,9e-04,255,422,353,318
"256",0.15,9e-04,256,423,351,318
"257",0.2,9e-04,257,420,352,318
"258",0.25,9e-04,258,427,354,318
"259",0.3,9e-04,259,377,349,318
"260",0,0.001,260,393,317,285
"261",0.05,0.001,261,342,317,285
"262",0.1,0.001,262,395,317,285
"263",0.15,0.001,263,389,317,285
"264",0.2,0.001,264,391,317,285
"265",0.25,0.001,265,394,313,285
"266",0.3,0.001,266,392,316,285
"267",0,0.0011,267,367,368,260
"268",0.05,0.0011,268,368,368,260
"269",0.1,0.0011,269,367,368,260
"270",0.15,0.0011,270,368,368,260
"271",0.2,0.0011,271,367,369,260
"272",0.25,0.0011,272,366,368,260
"273",0.3,0.0011,273,374,369,260
"274",0,0.0012,274,336,336,239
"275",0.05,0.0012,275,336,336,239
"276",0.1,0.0012,276,336,336,239
"277",0.15,0.0012,277,336,335,239
"278",0.2,0.0012,278,337,337,239
"279",0.25,0.0012,279,336,336,239
"280",0.3,0.0012,280,337,335,239
"281",0,0.0013,281,316,246,220
"282",0.05,0.0013,282,316,246,220
"283",0.1,0.0013,283,270,243,220
"284",0.15,0.0013,284,271,246,220
"285",0.2,0.0013,285,317,246,220
"286",0.25,0.0013,286,271,244,220
"287",0.3,0.0013,287,317,246,220
"288",0,0.0014,288,300,300,204
"289",0.05,0.0014,289,300,300,204
"290",0.1,0.0014,290,300,300,204
"291",0.15,0.0014,291,300,300,204
"292",0.2,0.0014,292,301,300,204
"293",0.25,0.0014,293,299,300,204
"294",0.3,0.0014,294,300,301,204
"295",0,0.0015,295,293,212,190
"296",0.05,0.0015,296,293,211,190
"297",0.1,0.0015,297,296,212,190
"298",0.15,0.0015,298,104,211,190
"299",0.2,0.0015,299,236,211,190
"300",0.25,0.0015,300,103,212,190
"301",0.3,0.0015,301,240,212,190
"302",0,0.0016,302,268,270,180
"303",0.05,0.0016,303,267,269,180
"304",0.1,0.0016,304,268,269,180
"305",0.15,0.0016,305,267,270,180
"306",0.2,0.0016,306,267,270,180
"307",0.25,0.0016,307,271,271,180
"308",0.3,0.0016,308,271,271,180
"309",0,6e-04,309,582,593,476
"310",0.05,6e-04,310,582,596,476
"311",0.1,6e-04,311,582,599,476
"312",0.15,6e-04,312,584,590,476
"313",0.2,6e-04,313,552,598,476
"314",0.25,6e-04,314,552,595,476
"315",0.3,6e-04,315,588,592,476
"316",0,7e-04,316,514,516,409
"317",0.05,7e-04,317,514,516,409
"318",0.1,7e-04,318,515,517,409
"319",0.15,7e-04,319,516,518,409
"320",0.2,7e-04,320,515,517,409
"321",0.25,7e-04,321,514,516,409
"322",0.3,7e-04,322,517,517,409
"323",0,8e-04,323,472,473,357
"324",0.05,8e-04,324,472,474,357
"325",0.1,8e-04,325,471,473,357
"326",0.15,8e-04,326,472,473,357
"327",0.2,8e-04,327,473,473,357
"328",0.25,8e-04,328,472,474,357
"329",0.3,8e-04,329,473,385,357
"330",0,9e-04,330,423,352,318
"331",0.05,9e-04,331,423,352,318
"332",0.1,9e-04,332,377,352,318
"333",0.15,9e-04,333,422,352,318
"334",0.2,9e-04,334,430,352,318
"335",0.25,9e-04,335,421,351,318
"336",0.3,9e-04,336,427,351,318
"337",0,0.001,337,393,317,285
"338",0.05,0.001,338,391,317,285
"339",0.1,0.001,339,395,317,285
"340",0.15,0.001,340,342,318,285
"341",0.2,0.001,341,342,313,285
"342",0.25,0.001,342,393,317,285
"343",0.3,0.001,343,398,313,285
"344",0,0.0011,344,367,368,260
"345",0.05,0.0011,345,367,368,260
"346",0.1,0.0011,346,367,369,260
"347",0.15,0.0011,347,367,368,260
"348",0.2,0.0011,348,367,368,260
"349",0.25,0.0011,349,369,369,260
"350",0.3,0.0011,350,371,368,260
"351",0,0.0012,351,336,336,239
"352",0.05,0.0012,352,336,336,239
"353",0.1,0.0012,353,336,336,239
"354",0.15,0.0012,354,336,336,239
"355",0.2,0.0012,355,336,336,239
"356",0.25,0.0012,356,337,337,239
"357",0.3,0.0012,357,336,337,239
"358",0,0.0013,358,316,246,220
"359",0.05,0.0013,359,271,246,220
"360",0.1,0.0013,360,271,246,220
"361",0.15,0.0013,361,271,243,220
"362",0.2,0.0013,362,315,245,220
"363",0.25,0.0013,363,315,242,220
"364",0.3,0.0013,364,316,247,220
"365",0,0.0014,365,300,300,204
"366",0.05,0.0014,366,300,300,204
"367",0.1,0.0014,367,300,300,204
"368",0.15,0.0014,368,300,300,204
"369",0.2,0.0014,369,302,301,204
"370",0.25,0.0014,370,300,300,204
"371",0.3,0.0014,371,302,301,204
"372",0,0.0015,372,293,212,190
"373",0.05,0.0015,373,293,211,190
"374",0.1,0.0015,374,107,212,190
"375",0.15,0.0015,375,102,211,190
"376",0.2,0.0015,376,110,211,190
"377",0.25,0.0015,377,103,212,190
"378",0.3,0.0015,378,240,212,190
"379",0,0.0016,379,268,270,180
"380",0.05,0.0016,380,268,270,180
"381",0.1,0.0016,381,268,269,180
"382",0.15,0.0016,382,268,270,180
"383",0.2,0.0016,383,269,270,180
"384",0.25,0.0016,384,270,271,180
"385",0.3,0.0016,385,270,273,180
"386",0,6e-04,386,582,593,476
"387",0.05,6e-04,387,582,593,476
"388",0.1,6e-04,388,582,592,476
"389",0.15,6e-04,389,552,596,476
"390",0.2,6e-04,390,583,590,476
"391",0.25,6e-04,391,552,599,476
"392",0.3,6e-04,392,583,596,476
"393",0,7e-04,393,514,516,409
"394",0.05,7e-04,394,515,516,409
"395",0.1,7e-04,395,514,516,409
"396",0.15,7e-04,396,517,517,409
"397",0.2,7e-04,397,515,516,409
"398",0.25,7e-04,398,516,518,409
"399",0.3,7e-04,399,599,522,409
"400",0,8e-04,400,472,473,357
"401",0.05,8e-04,401,472,473,357
"402",0.1,8e-04,402,472,473,357
"403",0.15,8e-04,403,472,473,357
"404",0.2,8e-04,404,473,474,357
"405",0.25,8e-04,405,471,474,357
"406",0.3,8e-04,406,472,473,357
"407",0,9e-04,407,423,352,318
"408",0.05,9e-04,408,423,352,318
"409",0.1,9e-04,409,425,352,318
"410",0.15,9e-04,410,426,352,318
"411",0.2,9e-04,411,423,352,318
"412",0.25,9e-04,412,423,352,318
"413",0.3,9e-04,413,377,352,318
"414",0,0.001,414,393,317,285
"415",0.05,0.001,415,394,317,285
"416",0.1,0.001,416,342,317,285
"417",0.15,0.001,417,392,316,285
"418",0.2,0.001,418,392,316,285
"419",0.25,0.001,419,391,317,285
"420",0.3,0.001,420,341,315,285
"421",0,0.0011,421,367,368,260
"422",0.05,0.0011,422,367,368,260
"423",0.1,0.0011,423,367,368,260
"424",0.15,0.0011,424,369,368,260
"425",0.2,0.0011,425,368,369,260
"426",0.25,0.0011,426,366,369,260
"427",0.3,0.0011,427,371,369,260
"428",0,0.0012,428,336,336,239
"429",0.05,0.0012,429,336,336,239
"430",0.1,0.0012,430,335,336,239
"431",0.15,0.0012,431,337,336,239
"432",0.2,0.0012,432,336,336,239
"433",0.25,0.0012,433,337,338,239
"434",0.3,0.0012,434,339,337,239
"435",0,0.0013,435,316,246,220
"436",0.05,0.0013,436,316,246,220
"437",0.1,0.0013,437,317,246,220
"438",0.15,0.0013,438,317,245,220
"439",0.2,0.0013,439,270,246,220
"440",0.25,0.0013,440,270,245,220
"441",0.3,0.0013,441,274,248,220
"442",0,0.0014,442,300,300,204
"443",0.05,0.0014,443,300,300,204
"444",0.1,0.0014,444,300,300,204
"445",0.15,0.0014,445,300,300,204
"446",0.2,0.0014,446,301,300,204
"447",0.25,0.0014,447,300,300,204
"448",0.3,0.0014,448,300,301,204
"449",0,0.0015,449,293,212,190
"450",0.05,0.0015,450,293,212,190
"451",0.1,0.0015,451,293,211,190
"452",0.15,0.0015,452,294,211,190
"453",0.2,0.0015,453,295,212,190
"454",0.25,0.0015,454,297,212,190
"455",0.3,0.0015,455,240,209,190
"456",0,0.0016,456,268,270,180
"457",0.05,0.0016,457,268,270,180
"458",0.1,0.0016,458,268,270,180
"459",0.15,0.0016,459,269,270,180
"460",0.2,0.0016,460,268,271,180
"461",0.25,0.0016,461,270,271,180
"462",0.3,0.0016,462,272,274,180
"463",0,6e-04,463,582,593,476
"464",0.05,6e-04,464,582,594,476
"465",0.1,6e-04,465,552,597,476
"466",0.15,6e-04,466,582,593,476
"467",0.2,6e-04,467,581,594,476
"468",0.25,6e-04,468,584,590,476
"469",0.3,6e-04,469,584,599,476
"470",0,7e-04,470,514,516,409
"471",0.05,7e-04,471,514,516,409
"472",0.1,7e-04,472,515,516,409
"473",0.15,7e-04,473,514,517,409
"474",0.2,7e-04,474,515,517,409
"475",0.25,7e-04,475,515,518,409
"476",0.3,7e-04,476,514,522,409
"477",0,8e-04,477,472,473,357
"478",0.05,8e-04,478,472,474,357
"479",0.1,8e-04,479,471,474,357
"480",0.15,8e-04,480,473,474,357
"481",0.2,8e-04,481,472,385,357
"482",0.25,8e-04,482,471,475,357
"483",0.3,8e-04,483,469,473,357
"484",0,9e-04,484,423,352,318
"485",0.05,9e-04,485,423,352,318
"486",0.1,9e-04,486,425,353,318
"487",0.15,9e-04,487,420,352,318
"488",0.2,9e-04,488,423,348,318
"489",0.25,9e-04,489,423,352,318
"490",0.3,9e-04,490,377,352,318
"491",0,0.001,491,393,317,285
"492",0.05,0.001,492,393,317,285
"493",0.1,0.001,493,342,316,285
"494",0.15,0.001,494,393,316,285
"495",0.2,0.001,495,342,313,285
"496",0.25,0.001,496,387,316,285
"497",0.3,0.001,497,342,317,285
"498",0,0.0011,498,367,368,260
"499",0.05,0.0011,499,367,368,260
"500",0.1,0.0011,500,366,368,260
"501",0.15,0.0011,501,367,368,260
"502",0.2,0.0011,502,368,369,260
"503",0.25,0.0011,503,369,369,260
"504",0.3,0.0011,504,366,368,260
"505",0,0.0012,505,336,336,239
"506",0.05,0.0012,506,336,336,239
"507",0.1,0.0012,507,336,336,239
"508",0.15,0.0012,508,336,336,239
"509",0.2,0.0012,509,336,337,239
"510",0.25,0.0012,510,338,337,239
"511",0.3,0.0012,511,337,336,239
"512",0,0.0013,512,316,246,220
"513",0.05,0.0013,513,316,246,220
"514",0.1,0.0013,514,271,244,220
"515",0.15,0.0013,515,316,245,220
"516",0.2,0.0013,516,316,245,220
"517",0.25,0.0013,517,317,247,220
"518",0.3,0.0013,518,270,245,220
"519",0,0.0014,519,300,300,204
"520",0.05,0.0014,520,300,300,204
"521",0.1,0.0014,521,300,300,204
"522",0.15,0.0014,522,300,300,204
"523",0.2,0.0014,523,301,300,204
"524",0.25,0.0014,524,300,300,204
"525",0.3,0.0014,525,302,302,204
"526",0,0.0015,526,293,212,190
"527",0.05,0.0015,527,293,212,190
"528",0.1,0.0015,528,105,211,190
"529",0.15,0.0015,529,295,211,190
"530",0.2,0.0015,530,291,211,190
"531",0.25,0.0015,531,109,212,190
"532",0.3,0.0015,532,106,210,190
"533",0,0.0016,533,268,270,180
"534",0.05,0.0016,534,268,270,180
"535",0.1,0.0016,535,268,270,180
"536",0.15,0.0016,536,268,271,180
"537",0.2,0.0016,537,268,271,180
"538",0.25,0.0016,538,269,270,180
"539",0.3,0.0016,539,270,275,180
"540",0,6e-04,540,582,593,476
"541",0.05,6e-04,541,582,592,476
"542",0.1,6e-04,542,582,592,476
"543",0.15,6e-04,543,582,595,476
"544",0.2,6e-04,544,583,590,476
"545",0.25,6e-04,545,582,591,476
"546",0.3,6e-04,546,585,590,476
"547",0,7e-04,547,514,516,409
"548",0.05,7e-04,548,514,516,409
"549",0.1,7e-04,549,514,516,409
"550",0.15,7e-04,550,515,517,409
"551",0.2,7e-04,551,599,516,409
"552",0.25,7e-04,552,514,517,409
"553",0.3,7e-04,553,599,515,409
"554",0,8e-04,554,472,473,357
"555",0.05,8e-04,555,472,473,357
"556",0.1,8e-04,556,472,474,357
"557",0.15,8e-04,557,472,474,357
"558",0.2,8e-04,558,472,473,357
"559",0.25,8e-04,559,472,474,357
"560",0.3,8e-04,560,475,475,357
"561",0,9e-04,561,423,352,318
"562",0.05,9e-04,562,422,352,318
"563",0.1,9e-04,563,423,353,318
"564",0.15,9e-04,564,427,351,318
"565",0.2,9e-04,565,421,352,318
"566",0.25,9e-04,566,425,351,318
"567",0.3,9e-04,567,423,351,318
"568",0,0.001,568,393,317,285
"569",0.05,0.001,569,394,317,285
"570",0.1,0.001,570,392,318,285
"571",0.15,0.001,571,392,315,285
"572",0.2,0.001,572,392,317,285
"573",0.25,0.001,573,392,315,285
"574",0.3,0.001,574,342,316,285
"575",0,0.0011,575,367,368,260
"576",0.05,0.0011,576,367,368,260
"577",0.1,0.0011,577,367,368,260
"578",0.15,0.0011,578,367,368,260
"579",0.2,0.0011,579,369,368,260
"580",0.25,0.0011,580,367,368,260
"581",0.3,0.0011,581,370,369,260
"582",0,0.0012,582,336,336,239
"583",0.05,0.0012,583,336,336,239
"584",0.1,0.0012,584,337,336,239
"585",0.15,0.0012,585,337,336,239
"586",0.2,0.0012,586,338,336,239
"587",0.25,0.0012,587,337,337,239
"588",0.3,0.0012,588,336,337,239
"589",0,0.0013,589,316,246,220
"590",0.05,0.0013,590,316,246,220
"591",0.1,0.0013,591,271,247,220
"592",0.15,0.0013,592,271,245,220
"593",0.2,0.0013,593,270,243,220
"594",0.25,0.0013,594,316,246,220
"595",0.3,0.0013,595,316,246,220
"596",0,0.0014,596,300,300,204
"597",0.05,0.0014,597,300,300,204
"598",0.1,0.0014,598,300,300,204
"599",0.15,0.0014,599,300,300,204
"600",0.2,0.0014,600,300,300,204
"601",0.25,0.0014,601,300,301,204
"602",0.3,0.0014,602,300,300,204
"603",0,0.0015,603,293,212,190
"604",0.05,0.0015,604,294,211,190
"605",0.1,0.0015,605,240,212,190
"606",0.15,0.0015,606,239,211,190
"607",0.2,0.0015,607,236,210,190
"608",0.25,0.0015,608,109,211,190
"609",0.3,0.0015,609,240,211,190
"610",0,0.0016,610,268,270,180
"611",0.05,0.0016,611,268,270,180
"612",0.1,0.0016,612,268,270,180
"613",0.15,0.0016,613,268,270,180
"614",0.2,0.0016,614,268,272,180
"615",0.25,0.0016,615,270,271,180
"616",0.3,0.0016,616,271,272,180
"617",0,6e-04,617,582,593,476
"618",0.05,6e-04,618,582,592,476
"619",0.1,6e-04,619,583,599,476
"620",0.15,6e-04,620,552,596,476
"621",0.2,6e-04,621,552,595,476
"622",0.25,6e-04,622,585,586,476
"623",0.3,6e-04,623,589,590,476
"624",0,7e-04,624,514,516,409
"625",0.05,7e-04,625,514,516,409
"626",0.1,7e-04,626,514,517,409
"627",0.15,7e-04,627,515,516,409
"628",0.2,7e-04,628,515,517,409
"629",0.25,7e-04,629,514,516,409
"630",0.3,7e-04,630,516,518,409
"631",0,8e-04,631,472,473,357
"632",0.05,8e-04,632,472,473,357
"633",0.1,8e-04,633,472,473,357
"634",0.15,8e-04,634,474,474,357
"635",0.2,8e-04,635,474,474,357
"636",0.25,8e-04,636,474,474,357
"637",0.3,8e-04,637,470,385,357
"638",0,9e-04,638,423,352,318
"639",0.05,9e-04,639,422,352,318
"640",0.1,9e-04,640,377,351,318
"641",0.15,9e-04,641,421,351,318
"642",0.2,9e-04,642,178,349,318
"643",0.25,9e-04,643,422,353,318
"644",0.3,9e-04,644,421,350,318
"645",0,0.001,645,393,317,285
"646",0.05,0.001,646,393,317,285
"647",0.1,0.001,647,391,317,285
"648",0.15,0.001,648,396,316,285
"649",0.2,0.001,649,342,317,285
"650",0.25,0.001,650,341,315,285
"651",0.3,0.001,651,395,316,285
"652",0,0.0011,652,367,368,260
"653",0.05,0.0011,653,367,368,260
"654",0.1,0.0011,654,368,368,260
"655",0.15,0.0011,655,366,368,260
"656",0.2,0.0011,656,367,368,260
"657",0.25,0.0011,657,367,368,260
"658",0.3,0.0011,658,368,370,260
"659",0,0.0012,659,336,336,239
"660",0.05,0.0012,660,336,336,239
"661",0.1,0.0012,661,336,336,239
"662",0.15,0.0012,662,336,336,239
"663",0.2,0.0012,663,337,337,239
"664",0.25,0.0012,664,336,337,239
"665",0.3,0.0012,665,337,335,239
"666",0,0.0013,666,316,246,220
"667",0.05,0.0013,667,271,246,220
"668",0.1,0.0013,668,317,246,220
"669",0.15,0.0013,669,316,246,220
"670",0.2,0.0013,670,317,247,220
"671",0.25,0.0013,671,271,246,220
"672",0.3,0.0013,672,317,243,220
"673",0,0.0014,673,300,300,204
"674",0.05,0.0014,674,300,300,204
"675",0.1,0.0014,675,300,300,204
"676",0.15,0.0014,676,301,300,204
"677",0.2,0.0014,677,300,300,204
"678",0.25,0.0014,678,303,301,204
"679",0.3,0.0014,679,303,301,204
"680",0,0.0015,680,293,212,190
"681",0.05,0.0015,681,294,211,190
"682",0.1,0.0015,682,292,211,190
"683",0.15,0.0015,683,294,211,190
"684",0.2,0.0015,684,296,211,190
"685",0.25,0.0015,685,237,211,190
"686",0.3,0.0015,686,240,213,190
"687",0,0.0016,687,268,270,180
"688",0.05,0.0016,688,268,269,180
"689",0.1,0.0016,689,268,270,180
"690",0.15,0.0016,690,268,270,180
"691",0.2,0.0016,691,268,271,180
"692",0.25,0.0016,692,268,270,180
"693",0.3,0.0016,693,268,272,180
"694",0,6e-04,694,582,593,476
"695",0.05,6e-04,695,582,597,476
"696",0.1,6e-04,696,582,599,476
"697",0.15,6e-04,697,552,590,476
"698",0.2,6e-04,698,583,599,476
"699",0.25,6e-04,699,584,592,476
"700",0.3,6e-04,700,552,591,476
"701",0,7e-04,701,514,516,409
"702",0.05,7e-04,702,514,516,409
"703",0.1,7e-04,703,515,517,409
"704",0.15,7e-04,704,515,516,409
"705",0.2,7e-04,705,599,516,409
"706",0.25,7e-04,706,517,520,409
"707",0.3,7e-04,707,514,516,409
"708",0,8e-04,708,472,473,357
"709",0.05,8e-04,709,472,473,357
"710",0.1,8e-04,710,472,473,357
"711",0.15,8e-04,711,472,474,357
