"","obs_error","rate_of_change","fisher_min_mean_ts60","log_fisher_min_mean_ts60","regime_shift_time_mean_ts60","fisher_diff_mean_ts60","fisher_log_diff_mean_ts60"
"1",0,6e-04,590,590,11.1525423728814,-578.847457627119,-578.847457627119
"2",0,7e-04,570,570,417.254237288136,-152.745762711864,-152.745762711864
"3",0,8e-04,540,510,366.491525423729,-173.508474576271,-143.508474576271
"4",0,9e-04,510,440,325.881355932203,-184.118644067797,-114.118644067797
"5",0,0.001,440,460,285.271186440678,-154.728813559322,-174.728813559322
"6",0,0.0011,410,410,264.966101694915,-145.033898305085,-145.033898305085
"7",0,0.0012,410,410,244.661016949153,-165.338983050847,-165.338983050847
"8",0,0.0013,280,340,224.35593220339,-55.6440677966102,-115.64406779661
"9",0,0.0014,340,340,204.050847457627,-135.949152542373,-135.949152542373
"10",0,0.0015,350,360,193.898305084746,-156.101694915254,-166.101694915254
"11",0,0.0016,270,300,183.745762711864,-86.2542372881356,-116.254237288136
"12",0.05,6e-04,515,561.2,11.1525423728814,-503.847457627119,-550.047457627119
"13",0.05,7e-04,550.7,581.6,417.254237288136,-133.445762711864,-164.345762711864
"14",0.05,8e-04,491.2,522.4,366.491525423729,-124.708474576271,-155.908474576271
"15",0.05,9e-04,443.8,460.9,325.881355932203,-117.918644067797,-135.018644067797
"16",0.05,0.001,419,437.7,285.271186440678,-133.728813559322,-152.428813559322
"17",0.05,0.0011,393.8,421.2,264.966101694915,-128.833898305085,-156.233898305085
"18",0.05,0.0012,402.7,406.4,244.661016949153,-158.038983050847,-161.738983050847
"19",0.05,0.0013,284.2,345.3,224.35593220339,-59.8440677966102,-120.94406779661
"20",0.05,0.0014,336.9,355.4,204.050847457627,-132.849152542373,-151.349152542373
"21",0.05,0.0015,298.4,338.1,193.898305084746,-104.501694915254,-144.201694915254
"22",0.05,0.0016,273.8,297.6,183.745762711864,-90.0542372881356,-113.854237288136
"23",0.1,6e-04,498.7,556.9,11.1525423728814,-487.547457627119,-545.747457627119
"24",0.1,7e-04,542,579.2,417.254237288136,-124.745762711864,-161.945762711864
"25",0.1,8e-04,501.6,528.2,366.491525423729,-135.108474576271,-161.708474576271
"26",0.1,9e-04,448.7,480.6,325.881355932203,-122.818644067797,-154.718644067797
"27",0.1,0.001,405.4,445.9,285.271186440678,-120.128813559322,-160.628813559322
"28",0.1,0.0011,396.4,425.2,264.966101694915,-131.433898305085,-160.233898305085
"29",0.1,0.0012,378.1,408.2,244.661016949153,-133.438983050847,-163.538983050847
"30",0.1,0.0013,292.3,344.5,224.35593220339,-67.9440677966102,-120.14406779661
"31",0.1,0.0014,349.4,363.2,204.050847457627,-145.349152542373,-159.149152542373
"32",0.1,0.0015,296.1,329.8,193.898305084746,-102.201694915254,-135.901694915254
"33",0.1,0.0016,272,299.1,183.745762711864,-88.2542372881356,-115.354237288136
"34",0.15,6e-04,523.4,563.3,11.1525423728814,-512.247457627119,-552.147457627119
"35",0.15,7e-04,548.4,571.5,417.254237288136,-131.145762711864,-154.245762711864
"36",0.15,8e-04,495.9,526.4,366.491525423729,-129.408474576271,-159.908474576271
"37",0.15,9e-04,447.3,488.2,325.881355932203,-121.418644067797,-162.318644067797
"38",0.15,0.001,410.4,447.3,285.271186440678,-125.128813559322,-162.028813559322
"39",0.15,0.0011,397.2,426.8,264.966101694915,-132.233898305085,-161.833898305085
"40",0.15,0.0012,377.8,399.2,244.661016949153,-133.138983050847,-154.538983050847
"41",0.15,0.0013,296.9,347.9,224.35593220339,-72.5440677966102,-123.54406779661
"42",0.15,0.0014,350.5,354.9,204.050847457627,-146.449152542373,-150.849152542373
"43",0.15,0.0015,295.2,323.5,193.898305084746,-101.301694915254,-129.601694915254
"44",0.15,0.0016,263.2,296.8,183.745762711864,-79.4542372881356,-113.054237288136
"45",0.2,6e-04,511.3,554.6,11.1525423728814,-500.147457627119,-543.447457627119
"46",0.2,7e-04,546.6,579.3,417.254237288136,-129.345762711864,-162.045762711864
"47",0.2,8e-04,493.8,527.9,366.491525423729,-127.308474576271,-161.408474576271
"48",0.2,9e-04,447,488.4,325.881355932203,-121.118644067797,-162.518644067797
"49",0.2,0.001,416.7,447.6,285.271186440678,-131.428813559322,-162.328813559322
"50",0.2,0.0011,385.5,423.5,264.966101694915,-120.533898305085,-158.533898305085
"51",0.2,0.0012,384.6,398,244.661016949153,-139.938983050847,-153.338983050847
"52",0.2,0.0013,306.1,348.5,224.35593220339,-81.7440677966102,-124.14406779661
"53",0.2,0.0014,334.7,337.6,204.050847457627,-130.649152542373,-133.549152542373
"54",0.2,0.0015,296,332.8,193.898305084746,-102.101694915254,-138.901694915254
"55",0.2,0.0016,280.2,295.8,183.745762711864,-96.4542372881356,-112.054237288136
"56",0.25,6e-04,532.8,558.5,11.1525423728814,-521.647457627119,-547.347457627119
"57",0.25,7e-04,540.8,566.9,417.254237288136,-123.545762711864,-149.645762711864
"58",0.25,8e-04,499.6,525.9,366.491525423729,-133.108474576271,-159.408474576271
"59",0.25,9e-04,450,493.3,325.881355932203,-124.118644067797,-167.418644067797
"60",0.25,0.001,417.2,452.5,285.271186440678,-131.928813559322,-167.228813559322
"61",0.25,0.0011,390.8,423.9,264.966101694915,-125.833898305085,-158.933898305085
"62",0.25,0.0012,382.1,394.9,244.661016949153,-137.438983050847,-150.238983050847
"63",0.25,0.0013,306.2,347.7,224.35593220339,-81.8440677966102,-123.34406779661
"64",0.25,0.0014,331.4,343,204.050847457627,-127.349152542373,-138.949152542373
"65",0.25,0.0015,302.3,327.6,193.898305084746,-108.401694915254,-133.701694915254
"66",0.25,0.0016,275.8,298.7,183.745762711864,-92.0542372881356,-114.954237288136
"67",0.3,6e-04,526.3,554,11.1525423728814,-515.147457627119,-542.847457627119
"68",0.3,7e-04,536.3,567.7,417.254237288136,-119.045762711864,-150.445762711864
"69",0.3,8e-04,496.6,530.9,366.491525423729,-130.108474576271,-164.408474576271
"70",0.3,9e-04,443.2,488.3,325.881355932203,-117.318644067797,-162.418644067797
"71",0.3,0.001,422.2,451.9,285.271186440678,-136.928813559322,-166.628813559322
"72",0.3,0.0011,391.8,424.4,264.966101694915,-126.833898305085,-159.433898305085
"73",0.3,0.0012,372.4,400,244.661016949153,-127.738983050847,-155.338983050847
"74",0.3,0.0013,309.4,346.2,224.35593220339,-85.0440677966102,-121.84406779661
"75",0.3,0.0014,328.5,337.4,204.050847457627,-124.449152542373,-133.349152542373
"76",0.3,0.0015,288.2,319.9,193.898305084746,-94.3016949152542,-126.001694915254
"77",0.3,0.0016,278.2,300.6,183.745762711864,-94.4542372881356,-116.854237288136
