"","obs_error","rate_of_change","replicate","sim_fisher_min_ts60","sim_log_fisher_min_ts60","regime_shift_time_ts60"
"1",0,-2e-04,1,590,570,478.169491525424
"2",0.05,-2e-04,2,590,580,478.169491525424
"3",0.1,-2e-04,3,590,590,478.169491525424
"4",0.15,-2e-04,4,580,580,478.169491525424
"5",0.2,-2e-04,5,590,590,478.169491525424
"6",0.25,-2e-04,6,590,590,478.169491525424
"7",0.3,-2e-04,7,590,590,478.169491525424
"8",0,-3e-04,8,470,450,315.728813559322
"9",0.05,-3e-04,9,490,450,315.728813559322
"10",0.1,-3e-04,10,490,450,315.728813559322
"11",0.15,-3e-04,11,440,420,315.728813559322
"12",0.2,-3e-04,12,470,450,315.728813559322
"13",0.25,-3e-04,13,490,450,315.728813559322
"14",0.3,-3e-04,14,420,430,315.728813559322
"15",0,-4e-04,15,340,360,254.813559322034
"16",0.05,-4e-04,16,350,360,254.813559322034
"17",0.1,-4e-04,17,380,360,254.813559322034
"18",0.15,-4e-04,18,370,360,254.813559322034
"19",0.2,-4e-04,19,380,350,254.813559322034
"20",0.25,-4e-04,20,390,330,254.813559322034
"21",0.3,-4e-04,21,340,320,254.813559322034
"22",0,-5e-04,22,320,300,193.898305084746
"23",0.05,-5e-04,23,320,330,193.898305084746
"24",0.1,-5e-04,24,320,310,193.898305084746
"25",0.15,-5e-04,25,350,340,193.898305084746
"26",0.2,-5e-04,26,320,330,193.898305084746
"27",0.25,-5e-04,27,310,270,193.898305084746
"28",0.3,-5e-04,28,340,300,193.898305084746
"29",0,-6e-04,29,290,230,173.593220338983
"30",0.05,-6e-04,30,320,260,173.593220338983
"31",0.1,-6e-04,31,300,230,173.593220338983
"32",0.15,-6e-04,32,280,260,173.593220338983
"33",0.2,-6e-04,33,310,210,173.593220338983
"34",0.25,-6e-04,34,250,250,173.593220338983
"35",0.3,-6e-04,35,340,230,173.593220338983
"36",0,-7e-04,36,290,260,143.135593220339
"37",0.05,-7e-04,37,290,270,143.135593220339
"38",0.1,-7e-04,38,300,230,143.135593220339
"39",0.15,-7e-04,39,300,260,143.135593220339
"40",0.2,-7e-04,40,280,260,143.135593220339
"41",0.25,-7e-04,41,290,270,143.135593220339
"42",0.3,-7e-04,42,240,210,143.135593220339
"43",0,-8e-04,43,270,230,132.983050847458
"44",0.05,-8e-04,44,290,260,132.983050847458
"45",0.1,-8e-04,45,260,230,132.983050847458
"46",0.15,-8e-04,46,230,230,132.983050847458
"47",0.2,-8e-04,47,260,260,132.983050847458
"48",0.25,-8e-04,48,240,230,132.983050847458
"49",0.3,-8e-04,49,220,220,132.983050847458
"50",0,-9e-04,50,260,230,112.677966101695
