"","obs_error","rate_of_change","replicate","sim_fisher_min","sim_log_fisher_min","regime_shift_time"
"1",0,-2e-04,1,539,462,473
"2",0.05,-2e-04,2,539,462,473
"3",0.1,-2e-04,3,539,462,473
"4",0.15,-2e-04,4,540,546,473
"5",0.2,-2e-04,5,546,463,473
"6",0.25,-2e-04,6,538,543,473
"7",0.3,-2e-04,7,542,514,473
"8",0,-3e-04,8,370,369,314
"9",0.05,-3e-04,9,370,369,314
"10",0.1,-3e-04,10,370,369,314
"11",0.15,-3e-04,11,370,369,314
"12",0.2,-3e-04,12,370,368,314
"13",0.25,-3e-04,13,370,368,314
"14",0.3,-3e-04,14,370,369,314
"15",0,-4e-04,15,296,298,236
"16",0.05,-4e-04,16,296,212,236
"17",0.1,-4e-04,17,296,298,236
"18",0.15,-4e-04,18,296,297,236
"19",0.2,-4e-04,19,295,212,236
"20",0.25,-4e-04,20,295,298,236
"21",0.3,-4e-04,21,297,300,236
"22",0,-5e-04,22,234,232,189
"23",0.05,-5e-04,23,234,232,189
"24",0.1,-5e-04,24,234,232,189
"25",0.15,-5e-04,25,234,232,189
"26",0.2,-5e-04,26,234,231,189
"27",0.25,-5e-04,27,234,231,189
"28",0.3,-5e-04,28,236,234,189
"29",0,-6e-04,29,202,203,157
"30",0.05,-6e-04,30,202,203,157
"31",0.1,-6e-04,31,202,204,157
"32",0.15,-6e-04,32,201,202,157
"33",0.2,-6e-04,33,201,200,157
"34",0.25,-6e-04,34,204,204,157
"35",0.3,-6e-04,35,202,201,157
"36",0,-7e-04,36,190,106,135
"37",0.05,-7e-04,37,190,105,135
"38",0.1,-7e-04,38,190,105,135
"39",0.15,-7e-04,39,190,103,135
"40",0.2,-7e-04,40,191,106,135
"41",0.25,-7e-04,41,192,192,135
"42",0.3,-7e-04,42,189,105,135
"43",0,-8e-04,43,162,159,118
"44",0.05,-8e-04,44,162,159,118
"45",0.1,-8e-04,45,162,159,118
"46",0.15,-8e-04,46,162,159,118
"47",0.2,-8e-04,47,162,159,118
"48",0.25,-8e-04,48,162,159,118
"49",0.3,-8e-04,49,163,160,118
"50",0,-9e-04,50,157,155,105
"51",0.05,-9e-04,51,157,155,105
"52",0.1,-9e-04,52,156,155,105
"53",0.15,-9e-04,53,157,156,105
"54",0.2,-9e-04,54,156,155,105
"55",0.25,-9e-04,55,157,156,105
"56",0.3,-9e-04,56,156,154,105
"57",0,-0.001,57,141,73,95
"58",0.05,-0.001,58,141,73,95
"59",0.1,-0.001,59,141,73,95
"60",0.15,-0.001,60,139,74,95
"61",0.2,-0.001,61,139,73,95
"62",0.25,-0.001,62,141,71,95
"63",0.3,-0.001,63,151,71,95
"64",0,-0.0011,64,128,125,86
"65",0.05,-0.0011,65,128,125,86
"66",0.1,-0.0011,66,128,125,86
"67",0.15,-0.0011,67,129,126,86
"68",0.2,-0.0011,68,128,125,86
"69",0.25,-0.0011,69,127,124,86
"70",0.3,-0.0011,70,129,126,86
"71",0,-2e-04,71,539,462,473
"72",0.05,-2e-04,72,539,463,473
"73",0.1,-2e-04,73,540,544,473
"74",0.15,-2e-04,74,537,543,473
"75",0.2,-2e-04,75,542,599,473
"76",0.25,-2e-04,76,539,541,473
"77",0.3,-2e-04,77,536,462,473
"78",0,-3e-04,78,370,369,314
"79",0.05,-3e-04,79,370,369,314
"80",0.1,-3e-04,80,371,369,314
"81",0.15,-3e-04,81,370,369,314
"82",0.2,-3e-04,82,371,370,314
"83",0.25,-3e-04,83,370,368,314
"84",0.3,-3e-04,84,371,370,314
"85",0,-4e-04,85,296,298,236
"86",0.05,-4e-04,86,296,211,236
"87",0.1,-4e-04,87,296,207,236
"88",0.15,-4e-04,88,297,206,236
"89",0.2,-4e-04,89,296,212,236
"90",0.25,-4e-04,90,300,213,236
"91",0.3,-4e-04,91,303,213,236
"92",0,-5e-04,92,234,232,189
"93",0.05,-5e-04,93,235,233,189
"94",0.1,-5e-04,94,235,233,189
"95",0.15,-5e-04,95,235,233,189
"96",0.2,-5e-04,96,236,234,189
"97",0.25,-5e-04,97,234,232,189
"98",0.3,-5e-04,98,235,234,189
"99",0,-6e-04,99,202,203,157
"100",0.05,-6e-04,100,202,203,157
"101",0.1,-6e-04,101,202,204,157
"102",0.15,-6e-04,102,201,199,157
"103",0.2,-6e-04,103,203,205,157
"104",0.25,-6e-04,104,202,199,157
"105",0.3,-6e-04,105,203,204,157
"106",0,-7e-04,106,190,106,135
"107",0.05,-7e-04,107,190,105,135
"108",0.1,-7e-04,108,191,105,135
"109",0.15,-7e-04,109,190,104,135
"110",0.2,-7e-04,110,190,190,135
"111",0.25,-7e-04,111,189,105,135
"112",0.3,-7e-04,112,190,191,135
"113",0,-8e-04,113,162,159,118
"114",0.05,-8e-04,114,162,159,118
"115",0.1,-8e-04,115,162,159,118
"116",0.15,-8e-04,116,162,159,118
"117",0.2,-8e-04,117,162,159,118
"118",0.25,-8e-04,118,161,158,118
"119",0.3,-8e-04,119,163,161,118
"120",0,-9e-04,120,157,155,105
"121",0.05,-9e-04,121,157,155,105
"122",0.1,-9e-04,122,157,155,105
"123",0.15,-9e-04,123,156,155,105
"124",0.2,-9e-04,124,156,155,105
"125",0.25,-9e-04,125,158,73,105
"126",0.3,-9e-04,126,156,155,105
"127",0,-0.001,127,141,73,95
"128",0.05,-0.001,128,141,72,95
"129",0.1,-0.001,129,143,72,95
"130",0.15,-0.001,130,140,70,95
"131",0.2,-0.001,131,153,72,95
"132",0.25,-0.001,132,149,73,95
"133",0.3,-0.001,133,149,72,95
"134",0,-0.0011,134,128,125,86
"135",0.05,-0.0011,135,128,125,86
"136",0.1,-0.0011,136,128,125,86
"137",0.15,-0.0011,137,128,125,86
"138",0.2,-0.0011,138,128,125,86
"139",0.25,-0.0011,139,128,125,86
"140",0.3,-0.0011,140,129,126,86
"141",0,-2e-04,141,539,462,473
"142",0.05,-2e-04,142,539,542,473
"143",0.1,-2e-04,143,599,544,473
"144",0.15,-2e-04,144,539,546,473
"145",0.2,-2e-04,145,547,599,473
"146",0.25,-2e-04,146,540,547,473
"147",0.3,-2e-04,147,545,546,473
"148",0,-3e-04,148,370,369,314
"149",0.05,-3e-04,149,370,368,314
"150",0.1,-3e-04,150,370,369,314
"151",0.15,-3e-04,151,370,368,314
"152",0.2,-3e-04,152,370,369,314
"153",0.25,-3e-04,153,371,369,314
"154",0.3,-3e-04,154,371,370,314
"155",0,-4e-04,155,296,298,236
"156",0.05,-4e-04,156,296,297,236
"157",0.1,-4e-04,157,295,297,236
"158",0.15,-4e-04,158,297,213,236
"159",0.2,-4e-04,159,296,212,236
"160",0.25,-4e-04,160,298,208,236
"161",0.3,-4e-04,161,294,297,236
"162",0,-5e-04,162,234,232,189
"163",0.05,-5e-04,163,234,232,189
"164",0.1,-5e-04,164,235,233,189
"165",0.15,-5e-04,165,234,232,189
"166",0.2,-5e-04,166,234,232,189
"167",0.25,-5e-04,167,235,233,189
"168",0.3,-5e-04,168,236,234,189
"169",0,-6e-04,169,202,203,157
"170",0.05,-6e-04,170,202,204,157
"171",0.1,-6e-04,171,202,203,157
"172",0.15,-6e-04,172,202,204,157
"173",0.2,-6e-04,173,203,202,157
"174",0.25,-6e-04,174,203,202,157
"175",0.3,-6e-04,175,203,204,157
"176",0,-7e-04,176,190,106,135
"177",0.05,-7e-04,177,190,106,135
"178",0.1,-7e-04,178,190,103,135
"179",0.15,-7e-04,179,190,104,135
"180",0.2,-7e-04,180,190,104,135
"181",0.25,-7e-04,181,192,103,135
"182",0.3,-7e-04,182,189,189,135
"183",0,-8e-04,183,162,159,118
"184",0.05,-8e-04,184,162,159,118
"185",0.1,-8e-04,185,162,159,118
"186",0.15,-8e-04,186,162,159,118
